Time,berkeley,napa,oakland,palo alto,san francisco,san jose,santa rosa,sonoma,vacaville,Grand Total
10:20:50,,1,8,1,15,29,,,3,57
10:20:51,1,,5,1,15,21,,1,,44
10:20:52,1,,2,2,21,17,1,,,44
10:20:53,,,9,1,22,18,3,,1,54
10:20:54,2,,13,,20,23,,,1,59
10:20:55,3,1,4,1,15,24,3,,,51
10:20:56,,,5,1,17,19,3,,2,47
10:20:57,1,,7,2,9,30,1,,1,51
10:20:58,1,,5,,16,15,2,,1,40
10:20:59,,,11,1,5,26,1,,2,46
10:21:00,1,1,8,,9,24,2,,,45
10:21:01,,,8,1,13,13,2,,,37
10:21:02,1,,14,,12,21,1,,,49
10:21:03,,,28,,11,26,6,,,71
10:21:04,,,22,,3,21,4,,,50
10:21:05,1,,6,1,8,23,1,,,40
10:21:06,1,,15,1,9,12,3,,,41
10:21:07,,,8,1,8,12,2,,,31
10:21:08,1,,10,1,8,11,1,,,32
10:21:09,,,7,,13,35,9,1,,65
10:21:10,,,6,,10,26,1,,,43
10:21:11,1,,7,2,21,31,4,,,66
10:21:12,,2,4,,13,45,5,,,69
10:21:13,,1,2,1,8,34,3,,,49
10:21:14,1,1,7,1,10,21,8,,1,50
10:21:15,1,,6,,9,19,2,,,37
10:21:16,,,1,,5,34,5,,,45
10:21:17,,,,1,11,17,5,,,34
10:21:18,,,2,,3,22,1,,,28
10:21:19,,,3,,7,14,5,,,29
10:21:20,,1,3,,8,19,3,1,,35
10:21:21,,,3,,2,19,2,,,26
10:21:22,,,4,,6,18,3,,,31
10:21:23,1,,2,,13,9,1,,,26
10:21:24,,,1,,10,7,3,,1,22
10:21:25,,,3,,16,14,3,,,36
10:21:26,,,1,,13,11,3,,,28
10:21:27,,,,2,9,10,2,,,23
10:21:28,1,,2,,15,7,2,,,27
10:21:29,,3,,,18,12,6,,,39
10:21:30,1,,5,1,16,13,3,,,39
10:21:31,1,1,6,,13,12,2,,,35
10:21:32,,,2,2,12,12,2,,,30
10:21:33,,2,7,,19,20,6,,,54
10:21:34,,,2,,11,10,,,,23
10:21:35,,,2,,8,21,,,,31
10:21:36,1,,7,,8,16,2,,1,35
10:21:37,,,6,1,10,11,2,,,30
10:21:38,,,3,,4,20,,,1,28
10:21:39,,,10,,7,13,4,,1,35
10:21:40,,2,7,2,9,14,8,,,42
10:21:41,,,3,1,12,6,2,,2,26
10:21:42,,,7,,10,23,2,,,42
10:21:43,2,,1,,5,11,,,,19
10:21:44,,1,4,1,12,19,2,,,39
10:21:45,1,,2,,17,29,5,,1,55
10:21:46,1,,10,1,12,17,1,,,42
10:21:47,2,2,8,1,16,15,1,,2,47
10:21:48,,,5,1,18,16,2,,,42
10:21:49,2,1,3,2,11,23,,1,,43
10:21:50,2,,7,,8,9,,,,26
10:21:51,,2,4,,18,19,1,,,44
10:21:52,2,1,11,,14,15,9,,1,53
10:21:53,6,,10,1,9,17,6,,1,50
10:21:54,1,1,17,1,19,11,4,,,54
10:21:55,2,6,23,2,19,15,3,,,70
10:21:56,,,8,1,15,13,3,,,40
10:21:57,2,,8,,7,15,3,1,2,38
10:21:58,1,,9,1,15,17,1,,,44
10:21:59,1,1,10,1,17,11,5,,,46
10:22:00,1,4,3,2,25,24,,,,59
10:22:01,2,,9,1,17,24,2,,1,56
10:22:02,1,1,7,,22,12,3,,,46
10:22:03,2,1,8,,20,17,1,,,49
10:22:04,1,,7,2,21,12,2,,2,47
10:22:05,1,,6,,23,16,,,,46
10:22:06,3,1,4,1,36,16,6,,1,68
10:22:07,2,1,5,,29,18,1,,,56
10:22:08,6,6,10,1,13,29,6,,1,72
10:22:09,2,1,4,,25,19,2,,,53
10:22:10,1,1,6,2,31,19,1,,,61
10:22:11,4,,12,,30,27,1,,,74
10:22:12,2,,8,2,28,22,2,,4,68
10:22:13,3,1,8,1,32,24,2,,1,72
10:22:14,4,6,6,1,31,18,2,,,68
10:22:15,12,1,8,,28,25,1,,4,79
10:22:16,,1,11,,34,24,2,1,1,74
10:22:17,2,2,9,,30,24,3,1,3,74
10:22:18,5,,18,2,27,15,6,1,,74
10:22:19,5,,11,3,26,23,2,,4,74
10:22:20,2,,5,1,31,26,1,,2,68
10:22:21,1,1,8,,27,19,3,1,,60
10:22:22,6,1,7,3,25,25,3,,2,72
10:22:23,,,16,1,34,22,7,,1,81
10:22:24,5,1,15,3,33,30,2,,1,90
10:22:25,4,1,12,3,37,16,5,,1,79
10:22:26,1,,6,2,31,30,4,,2,76
10:22:27,8,1,9,1,43,32,2,,4,100
10:22:28,4,,6,1,41,33,4,,1,90
